Date,Open,High,Low,Close,Adj Close,Volume
2022-07-04,0.999311,1.002412,0.998662,1.000192,1.000192,4532801976
2022-07-05,1.000202,1.002487,0.998917,1.000336,1.000336,5028050090
2022-07-06,1.000354,1.002757,0.998772,1.000704,1.000704,4756293945
2022-07-07,1.000696,1.002445,0.998557,1.000794,1.000794,5198122168
2022-07-08,1.000790,1.002500,0.998580,0.999748,0.999748,6411440193
2022-07-09,0.999822,1.001568,0.998671,0.998908,0.998908,4461460302
2022-07-10,0.998901,1.002461,0.998528,1.001679,1.001679,4484473153
2022-07-11,1.001625,1.002307,0.998662,1.001347,1.001347,4304223676
2022-07-12,1.001385,1.002749,0.998663,1.000083,1.000083,4772113280
2022-07-13,1.000091,1.002665,0.998525,1.000329,1.000329,5865390079
2022-07-14,1.000341,1.002607,0.998603,1.000194,1.000194,5763579045
2022-07-15,1.000211,1.002290,0.998533,0.999227,0.999227,5746399176
2022-07-16,0.999180,1.001983,0.998133,1.000929,1.000929,4914750577
2022-07-17,1.000930,1.002147,0.998013,1.000387,1.000387,4716284406
2022-07-18,1.000387,1.002329,0.998259,0.999993,0.999993,7824000522
2022-07-19,0.999943,1.001948,0.998278,1.001252,1.001252,8650828628
2022-07-20,1.001231,1.001399,0.998247,1.000516,1.000516,8537816725
2022-07-21,1.000516,1.001297,0.998170,1.000044,1.000044,6365773600
2022-07-22,1.000061,1.002026,0.995809,0.999257,0.999257,6286215043
2022-07-23,0.999148,1.001555,0.997806,0.999135,0.999135,4574101551
2022-07-24,0.999127,1.002223,0.998278,1.001183,1.001183,4727016296
2022-07-25,1.001158,1.001694,0.998172,1.001207,1.001207,5660205816
2022-07-26,1.001275,1.001520,0.998108,1.001513,1.001513,5204855964
2022-07-27,1.001488,1.002463,0.997995,0.998013,0.998013,7739121672
2022-07-28,0.998029,1.001978,0.997995,0.998910,0.998910,8590307252
2022-07-29,0.998903,1.001567,0.998199,0.999210,0.999210,8913658107
2022-07-30,0.999217,1.001481,0.998006,0.999874,0.999874,6503236647
2022-07-31,0.999880,1.001761,0.997993,0.999321,0.999321,6199044656
2022-08-01,0.999345,1.001709,0.998118,1.001188,1.001188,6732350584
2022-08-02,1.001184,1.001320,0.998173,0.999920,0.999920,6645412034
2022-08-03,0.999964,1.000385,0.999575,0.999949,0.999949,5485365451
2022-08-04,0.999919,1.000782,0.999531,1.000103,1.000103,5745937403
2022-08-05,1.000009,1.000604,0.999348,0.999976,0.999976,5455954302
2022-08-06,1.000183,1.000606,0.999220,0.999979,0.999979,3687174602
2022-08-07,1.000075,1.000857,0.999456,0.999857,0.999857,3175297520
2022-08-08,0.999915,1.000767,0.999298,1.000259,1.000259,5526283556
2022-08-09,1.000320,1.001123,0.999498,1.000029,1.000029,5475918085
2022-08-10,1.000052,1.000577,0.999417,1.000012,1.000012,7626356466
2022-08-11,0.999999,1.000478,0.999352,0.999848,0.999848,7201370519
2022-08-12,0.999849,1.000384,0.999340,0.999839,0.999839,5193684859
2022-08-13,0.999864,1.000265,0.999487,1.000263,1.000263,5407307110
2022-08-14,1.000210,1.000361,0.999457,0.999858,0.999858,5112255401
2022-08-15,0.999930,1.000467,0.999565,0.999856,0.999856,6209795580
2022-08-16,0.999858,1.000487,0.999461,0.999993,0.999993,5601078041
2022-08-17,1.000016,1.000622,0.999484,1.000079,1.000079,5804551198
2022-08-18,1.000106,1.000916,0.999570,1.000258,1.000258,4491889715
2022-08-19,1.000301,1.001314,0.998632,1.000175,1.000175,7543538943
2022-08-20,1.000162,1.000823,0.999860,1.000105,1.000105,4443917854
2022-08-21,1.000064,1.000562,0.999699,1.000075,1.000075,4140857537
2022-08-22,1.000019,1.000755,0.999487,1.000266,1.000266,4859670365
2022-08-23,1.000252,1.000812,0.999465,0.999847,0.999847,4782594109
2022-08-24,0.999862,1.000977,0.999454,1.000138,1.000138,4859837991
2022-08-25,1.000146,1.000666,0.999476,1.000151,1.000151,4230243446
2022-08-26,1.000199,1.000893,0.999698,1.000071,1.000071,10264830869
2022-08-27,1.000049,1.000721,0.999540,1.000245,1.000245,5418792299
2022-08-28,1.000199,1.000877,0.999723,1.000509,1.000509,3901333042
2022-08-29,1.000247,1.000885,0.999415,1.000106,1.000106,5680701100
2022-08-30,1.000037,1.000918,0.999647,0.999953,0.999953,7193385316
2022-08-31,1.000137,1.000832,0.999635,1.000281,1.000281,7506760903
2022-09-01,1.000276,1.000919,0.999296,1.000440,1.000440,7713153850
2022-09-02,1.000378,1.000649,0.999713,1.000231,1.000231,6970190867
2022-09-03,1.000190,1.000548,0.999642,1.000039,1.000039,4080792726
2022-09-04,1.000064,1.000728,0.999828,1.000248,1.000248,4345105641
2022-09-05,1.000252,1.000820,0.999683,1.000054,1.000054,6960859086
2022-09-06,1.000057,1.000791,0.999654,0.999975,0.999975,10063711703
2022-09-07,0.999927,1.000914,0.999593,1.000205,1.000205,9439836894
2022-09-08,1.000165,1.001474,0.999620,0.999888,0.999888,9877119980
2022-09-09,1.000124,1.001088,0.999338,0.999957,0.999957,14598870317
2022-09-10,0.999923,1.000488,0.999675,0.999978,0.999978,9634577353
2022-09-11,0.999915,1.000414,0.999411,0.999860,0.999860,8265336407
2022-09-12,0.999893,1.000481,0.999427,1.000244,1.000244,11986192446
2022-09-13,1.000240,1.000477,0.999433,1.000244,1.000244,13203751025
2022-09-14,1.000014,1.001168,0.998840,0.999896,0.999896,9927670952
2022-09-15,0.999775,1.001367,0.998978,1.000128,1.000128,10207015562
2022-09-16,0.999697,1.001387,0.998765,1.000382,1.000382,8969002446
2022-09-17,0.999470,1.001256,0.999043,0.999880,0.999880,5929154239
2022-09-18,1.000967,1.001111,0.999300,1.000523,1.000523,7971539238
2022-09-19,1.000766,1.001065,0.999112,0.999659,0.999659,9750460921
2022-09-20,1.000706,1.001042,0.998942,0.999026,0.999026,8134767274
2022-09-21,0.999610,1.001387,0.998980,1.000297,1.000297,9583302363
2022-09-22,1.000733,1.001294,0.999289,0.999721,0.999721,9067673459
2022-09-23,0.999718,1.001495,0.999004,1.000183,1.000183,9334269253
2022-09-24,1.000095,1.001318,0.998859,1.000007,1.000007,7469401871
2022-09-25,0.999795,1.001029,0.999081,1.000646,1.000646,6699091780
2022-09-26,0.999669,1.002788,0.999140,0.999775,0.999775,8338776212
2022-09-27,0.999859,1.003645,0.999176,1.001188,1.001188,10212165464
2022-09-28,1.000618,1.001375,0.999045,0.999780,0.999780,9037378098
2022-09-29,0.999842,1.001325,0.998917,1.000105,1.000105,6906007418
2022-09-30,1.000285,1.001254,0.999021,1.000003,1.000003,7228359187
2022-10-01,0.999787,1.001575,0.999011,1.000322,1.000322,4401538576
2022-10-02,0.999980,1.001516,0.998655,0.999525,0.999525,4876227728
2022-10-03,1.000095,1.001123,0.998876,1.000025,1.000025,6430729201
2022-10-04,1.000200,1.001125,0.999240,1.000146,1.000146,6759645878
2022-10-05,0.999885,1.002202,0.999166,0.999936,0.999936,6621650545
2022-10-06,1.000219,1.002712,0.996383,1.000031,1.000031,6424323149
2022-10-07,1.000016,1.001247,0.998890,1.000171,1.000171,5512939188
2022-10-08,1.000197,1.001001,0.998812,0.999820,0.999820,3680625187
2022-10-09,0.999951,1.001245,0.999154,1.000119,1.000119,3456238969
2022-10-10,1.000131,1.001021,0.999182,1.000368,1.000368,6166681361
2022-10-11,1.000331,1.001113,0.999284,0.999904,0.999904,6363227768
2022-10-12,0.999905,1.001068,0.999351,1.000357,1.000357,5211379224
2022-10-13,1.000361,1.000943,0.999038,0.999810,0.999810,8484435150
2022-10-14,0.999802,1.001315,0.999233,1.000442,1.000442,8085805833
2022-10-15,1.000418,1.001305,0.999390,1.000319,1.000319,4552179277
2022-10-16,1.000342,1.001208,0.999367,1.000527,1.000527,4728210778
2022-10-17,1.000503,1.001283,0.999038,0.999761,0.999761,6460725744
2022-10-18,0.999802,1.001154,0.999046,1.000601,1.000601,7138513519
2022-10-19,1.000599,1.001039,0.999097,0.999856,0.999856,5876531933
2022-10-20,0.999788,1.001061,0.999374,0.999779,0.999779,5559430612
2022-10-21,1.000207,1.004098,0.999422,1.000217,1.000217,5872813337
2022-10-22,1.000215,1.001250,0.999439,1.000054,1.000054,3420800232
2022-10-23,1.000066,1.000972,0.999123,1.000572,1.000572,4461506899
2022-10-24,0.999975,1.000933,0.999163,1.000194,1.000194,5618010118
2022-10-25,1.000173,1.001143,0.999180,0.999948,0.999948,8017370284
2022-10-26,1.000037,1.001465,0.999070,1.000353,1.000353,8959701738
2022-10-27,1.000343,1.001213,0.999128,0.999955,0.999955,8053476085
2022-10-28,0.999941,1.002650,0.999305,0.999827,0.999827,6685417232
2022-10-29,0.999826,1.000996,0.999112,1.000109,1.000109,8171731809
2022-10-30,1.000087,1.001026,0.999184,1.000096,1.000096,5955857683
2022-10-31,1.000057,1.001072,0.999059,1.000571,1.000571,7883853467
2022-11-01,1.000557,1.001047,0.999445,1.000006,1.000006,7242954997
2022-11-02,0.999983,1.000997,0.999378,1.000344,1.000344,8285948224
2022-11-03,1.000350,1.003088,0.999415,1.000600,1.000600,7536474493
2022-11-04,1.000281,1.002067,0.998573,1.000144,1.000144,10226942529
2022-11-05,1.000544,1.001286,0.999156,0.999786,0.999786,6905540121
2022-11-06,0.999953,1.001156,0.999362,0.999964,0.999964,6180167998
2022-11-07,0.999889,1.001135,0.999309,0.999818,0.999818,9152532377
2022-11-08,0.999798,1.001123,0.998941,1.000176,1.000176,21100945115
2022-11-09,1.000356,1.001667,0.999385,1.000804,1.000804,20146853424
2022-11-10,1.000995,1.012638,1.000201,1.001443,1.001443,21213475804
2022-11-11,1.001197,1.002662,1.000083,1.000903,1.000903,14105832815
2022-11-12,1.001345,1.019846,0.996277,1.000751,1.000751,10997769691
2022-11-13,1.000684,1.002131,0.999631,1.001095,1.001095,7253712643
2022-11-14,1.000926,1.001807,0.999818,1.000936,1.000936,10250311528
2022-11-15,1.000957,1.001698,0.999579,1.000261,1.000261,8032879524
2022-11-16,1.000462,1.002021,0.999530,1.000386,1.000386,7336542529
2022-11-17,1.000346,1.001590,0.999231,1.000243,1.000243,5758493091
2022-11-18,1.001129,1.001659,0.999562,1.001127,1.001127,5789797834
2022-11-19,1.001102,1.001433,0.999647,1.000590,1.000590,3319622761
2022-11-20,1.000605,1.001640,0.999791,1.001229,1.001229,7510289975
2022-11-21,1.000450,1.001628,0.999741,1.000710,1.000710,9125701526
